Categoría,Correo,Asunto,Message
ham,carlos95_2@outlook.es,How's it feel? Mr. Your...,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,luis85@uni.edu,All sounds good. Fingers ....,All sounds good. Fingers . Makes it difficult to type
ham,profesor_x65_1@uni.edu,Midnight at the earliest,Midnight at the earliest
ham,profesor_x34@hotmail.com,You're not sure that I'm...,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,secretaria24@hotmail.com,K come to nordstrom when...,K come to nordstrom when you're done
ham,profesor_x73_1@uni.edu,Do u konw waht is...,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,luis82@trabajo.com,Now press conference da:),Now press conference da:)
spam,soporte_tecnico_38@actualizacion-sistema.com,Exclusive Free Offer! (ID: 221),"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,sofia92@uni.edu,After completed degree. There is...,After completed degree. There is no use in joining finance.
ham,sofia18@uni.edu,"Good afternoon, my love !...","Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,carlos55@trabajo.com,Shant disturb u anymore... Jia...,Shant disturb u anymore... Jia you...
ham,sofia29_1@outlook.es,Bishan lar nearer... No need...,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,secretaria74@gmail.com,"Me, i dont know again...","Me, i dont know again oh"
ham,carlos44@gmail.com,Dude sux for snake. He...,Dude sux for snake. He got old and raiden got buff
ham,jefe91_1@uni.edu,He says hi and to...,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,luis23@outlook.es,In e msg jus now....,In e msg jus now. U said thanks for gift.
ham,luis69@hotmail.com,U too...,U too...
ham,carlos39@gmail.com,Ok how you dear. Did...,Ok how you dear. Did you call chechi
ham,jefe88_1@trabajo.com,Yeah we do totes. When...,Yeah we do totes. When u wanna?
ham,secretaria11@trabajo.com,Ok i found dis pierre...,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,sofia41@uni.edu,Good sleep is about rhythm....,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
ham,carlos83@uni.edu,Wat r u doing?,Wat r u doing?
ham,secretaria39@uni.edu,Message from . I am...,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
ham,sofia91@gmail.com,Single line with a big...,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
ham,ana78@trabajo.com,"Just got some gas money,...","Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
ham,sofia76@hotmail.com,Dnt worry...use ice pieces in...,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,ana85@trabajo.com,Dude just saw a parked...,Dude just saw a parked car with its sunroof popped up. Sux
ham,carlos20_1@gmail.com,Get ready to put on...,Get ready to put on your excellent sub face :)
ham,carlos24@hotmail.com,Tmrw. Im finishing 9 doors,Tmrw. Im finishing 9 doors
ham,sofia50_1@trabajo.com,The &lt;#&gt; g that i...,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
ham,ana18@hotmail.com,I am late. I will...,I am late. I will be there at
ham,carlos21_2@outlook.es,"whatever, im pretty pissed off.","whatever, im pretty pissed off."
ham,ana74_1@outlook.es,Today is ACCEPT DAY..U Accept...,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,ana51@uni.edu,I dont have that much...,I dont have that much image in class.
ham,secretaria29@outlook.es,No:-)i got rumour that you...,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,luis75@trabajo.com,Near kalainar tv office.thenampet,Near kalainar tv office.thenampet
spam,soporte_tecnico_39@actualizacion-sistema.com,New Spam Message - Important (ID: 222),Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
spam,paypal_support_52@pago-pendient.biz,Exclusive Free Offer! (ID: 223),SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
ham,profesor_x42_1@uni.edu,My sis is catching e...,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,ana84@outlook.es,"Sounds gd... Haha... Can... Wah,...","Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
ham,profesor_x30@outlook.es,No. To be nosy I...,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,ana44_1@hotmail.com,Remember all those whom i...,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,sofia74@gmail.com,How to Make a girl...,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
ham,ana58@gmail.com,"Why is that, princess? I...","Why is that, princess? I bet the brothas are all chasing you!"
ham,ana72@outlook.es,I shall book chez jules...,"I shall book chez jules for half eight, if that's ok with you?"
ham,carlos35_1@outlook.es,Hhahhaahahah rofl wtf nig was...,Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,jefe86@hotmail.com,"Yep, at derek's house now,...","Yep, at derek's house now, see you Sunday &lt;3"
ham,luis98@trabajo.com,"It's cool, let me know...","It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,profesor_x43_1@outlook.es,"Sorry, I'll call later","Sorry, I'll call later"
ham,ana16_1@hotmail.com,I was wondering if it...,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,jefe17@hotmail.com,There are no other charges...,There are no other charges after transfer charges and you can withdraw anyhow you like
ham,secretaria38@uni.edu,"Dont search love, let love...","Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,secretaria37@gmail.com,At 4. Let's go to...,At 4. Let's go to bill millers
ham,profesor_x66@uni.edu,I love you. You set...,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
ham,profesor_x79@hotmail.com,Somewhr someone is surely made...,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,jefe14@trabajo.com,That's my honeymoon outfit. :),That's my honeymoon outfit. :)
ham,jefe31_1@uni.edu,Will it help if we...,Will it help if we propose going back again tomorrow
spam,paypal_support_53@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 224),PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,ana63@uni.edu,Never blame a day in...,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,jefe79_1@gmail.com,Pls confirm the time to...,Pls confirm the time to collect the cheque.
spam,paypal_support_54@pago-pendient.biz,New Spam Message - Important (ID: 225),As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
spam,ganador_loto_39@felicidades.info,Congratulations! You Have Won a Prize (ID: 226),URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,luis52@uni.edu,Daddy will take good care...,Daddy will take good care of you :)
ham,luis29@gmail.com,"Yeah probably, I still gotta...","Yeah probably, I still gotta check out with leo"
ham,ana88_1@gmail.com,K.then any other special?,K.then any other special?
ham,sofia82@hotmail.com,Carlos is taking his sweet...,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,sofia27@uni.edu,Ok pa. Nothing problem:-),Ok pa. Nothing problem:-)
ham,sofia37@uni.edu,Have you heard about that...,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!
ham,profesor_x86_1@hotmail.com,God picked up a flower...,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,secretaria28@trabajo.com,When you came to hostel.,When you came to hostel.
ham,ana43@trabajo.com,Ok no prob... I'll come...,Ok no prob... I'll come after lunch then...
ham,sofia31@trabajo.com,Jus telling u dat i'll...,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,luis71@hotmail.com,Are your freezing ? Are...,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
ham,luis79@hotmail.com,You all ready for *...,You all ready for * big day tomorrow?
ham,carlos68_2@trabajo.com,I'll probably be around mu...,I'll probably be around mu a lot
ham,profesor_x20_1@uni.edu,645,645
spam,paypal_support_55@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 227),RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
ham,jefe15_1@hotmail.com,Thnx dude. u guys out...,Thnx dude. u guys out 2nite?
ham,carlos90@trabajo.com,Me sef dey laugh you....,Me sef dey laugh you. Meanwhile how's my darling anjie!
ham,luis10@hotmail.com,Mm i had my food...,Mm i had my food da from out
ham,jefe55_1@trabajo.com,"K, makes sense, btw carlos...","K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
ham,luis35@hotmail.com,Did u download the fring...,Did u download the fring app?
ham,ana10_1@uni.edu,The 2 oz guy is...,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
ham,sofia20@uni.edu,Friends that u can stay...,Friends that u can stay on fb chat with
ham,sofia82@trabajo.com,"Fuck babe, I miss you...","Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
ham,jefe91@trabajo.com,Living is very simple.. Loving...,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
spam,servicio_seguridad_45@alerta-oficial.net,URGENT ALERT: Immediate Action Required (ID: 228),U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,secretaria50_1@trabajo.com,"Ah, well that confuses things,...","Ah, well that confuses things, doesn‘t it?"
spam,ganador_loto_40@felicidades.info,Exclusive Free Offer! (ID: 229),500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,carlos82@gmail.com,Hi Dear Call me its...,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,jefe40_1@hotmail.com,Dear how you. Are you...,Dear how you. Are you ok?
spam,ganador_loto_41@felicidades.info,Congratulations! You Have Won a Prize (ID: 230),"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS"
ham,sofia86_3@outlook.es,Yes princess! I want to...,Yes princess! I want to make you happy...
ham,sofia59_1@trabajo.com,Sounds like you have many...,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,carlos63@outlook.es,I am going to film...,I am going to film 2day da. At 6pm. Sorry da.
ham,ana39_1@uni.edu,We not watching movie already....,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,luis41@outlook.es,Hello my little party animal!...,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,luis97@uni.edu,Yesterday its with me only...,Yesterday its with me only . Now am going home.
spam,paypal_support_56@pago-pendient.biz,New Spam Message - Important (ID: 231),"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
ham,luis17@hotmail.com,You have come into my...,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
